Year,Month,Milk Production
1962,1,589
1962,2,561
1962,3,640
1962,4,656
1962,5,727
1962,6,697
1962,7,640
1962,8,599
1962,9,568
1962,10,577
1962,11,553
1962,12,582
1963,1,600
1963,2,566
1963,3,653
1963,4,673
1963,5,742
1963,6,716
1963,7,660
1963,8,617
1963,9,583
1963,10,587
1963,11,565
1963,12,598
1964,1,628
1964,2,618
1964,3,688
1964,4,705
1964,5,770
1964,6,736
1964,7,678
1964,8,639
1964,9,604
1964,10,611
1964,11,594
1964,12,634
1965,1,658
1965,2,622
1965,3,709
1965,4,722
1965,5,782
1965,6,756
1965,7,702
1965,8,653
1965,9,615
1965,10,621
1965,11,602
1965,12,635
1966,1,677
1966,2,635
1966,3,736
1966,4,755
1966,5,811
1966,6,798
1966,7,735
1966,8,697
1966,9,661
1966,10,667
1966,11,645
1966,12,688
1967,1,713
1967,2,667
1967,3,762
1967,4,784
1967,5,837
1967,6,817
1967,7,767
1967,8,722
1967,9,681
1967,10,687
1967,11,660
1967,12,698
1968,1,717
1968,2,696
1968,3,775
1968,4,796
1968,5,858
1968,6,826
1968,7,783
1968,8,740
1968,9,701
1968,10,706
1968,11,677
1968,12,711
1969,1,734
1969,2,690
1969,3,785
1969,4,805
1969,5,871
1969,6,845
1969,7,801
1969,8,764
1969,9,725
1969,10,723
1969,11,690
1969,12,734
1970,1,750
1970,2,707
1970,3,807
1970,4,824
1970,5,886
1970,6,859
1970,7,819
1970,8,783
1970,9,740
1970,10,747
1970,11,711
1970,12,751
1971,1,804
1971,2,756
1971,3,860
1971,4,878
1971,5,942
1971,6,913
1971,7,869
1971,8,834
1971,9,790
1971,10,800
1971,11,763
1971,12,800
1972,1,826
1972,2,799
1972,3,890
1972,4,900
1972,5,961
1972,6,935
1972,7,894
1972,8,855
1972,9,809
1972,10,810
1972,11,766
1972,12,805
1973,1,821
1973,2,773
1973,3,883
1973,4,898
1973,5,957
1973,6,924
1973,7,881
1973,8,837
1973,9,784
1973,10,791
1973,11,760
1973,12,802
1974,1,828
1974,2,778
1974,3,889
1974,4,902
1974,5,969
1974,6,947
1974,7,908
1974,8,867
1974,9,815
1974,10,812
1974,11,773
1974,12,813
1975,1,834
1975,2,782
1975,3,892
1975,4,903
1975,5,966
1975,6,937
1975,7,896
1975,8,858
1975,9,817
1975,10,827
1975,11,797
1975,12,843
